=== exp005: Stage 2 Diffusion — Fix EMA + Increase Training Steps ===
Start time: Tue Mar 24 15:27:58     2026
Changes:
  - [C1] EMA decay: 0.9999 -> 0.995
  - [C1] samples_per_epoch: 1180 (59 tracks * 20) -> ~73 batches/epoch -> 14600 total steps
  - [C1] Save raw (non-EMA) checkpoints alongside EMA
  - [C2] Best checkpoint selected by test_loss (not train_loss)
Device: cuda
Config: {
  "data_dir": "C:\\lxr\\study\\final\\datagen",
  "output_dir": "experiments/checkpoints/exp005",
  "instruments": [
    "vn",
    "tpt",
    "fl"
  ],
  "crop_len": 512,
  "seed": 42,
  "stage1": {
    "batch_size": 32,
    "lr": 0.001,
    "epochs": 100,
    "lam": 1.0,
    "patience": 15,
    "lr_patience": 5,
    "lr_factor": 0.5,
    "dropout": 0.3
  },
  "stage2": {
    "batch_size": 16,
    "lr": 0.0002,
    "epochs": 200,
    "ema_decay": 0.995,
    "n_diffusion_steps": 1000,
    "samples_per_epoch": 1180
  },
  "save_every": 10
}
Loaded baseline from experiments/checkpoints/exp005\baseline_best.pt

============================================================
Stage 2: Training Conditional Diffusion Model
============================================================
Train: 59 tracks, samples_per_epoch=1180
Amp log stats: mean=-4.8466, std=1.2020
    "min": 0.165525595369632,
    "max": 0.8059908745969974
  },
  "diffusion_amp_corr_oracle": {
    "mean": 0.550747386937368,
    "std": 0.22425172452481695,
    "min": 0.17191233418132834,
    "max": 0.8495902527549145
  },
  "diffusion_amp_rmse_log_mean": {
    "mean": 1.4868634446461997,
    "std": 0.4200512337430686,
    "min": 0.9305869817733765,
    "max": 2.696911668777466
  },
  "diffusion_amp_rmse_log_oracle": {
    "mean": 1.8303851763407388,
    "std": 0.7755548642467494,
    "min": 0.701209306716919,
    "max": 3.1868817806243896
  },
  "diffusion_vde_mean_avg": {
    "mean": 6.031016691414073,
    "std": 1.5267317108640268,
    "min": 3.2887674869295758,
    "max": 7.9423379658749695
  },
  "diffusion_vde_mean_oracle": {
    "mean": 5.112163806944976,
    "std": 1.806463712009313,
    "min": 1.5618869609631851,
    "max": 7.887300567081583
  },
  "diffusion_vre_mean_avg": {
    "mean": 0.8058225709761425,
    "std": 0.1723651322762055,
    "min": 0.5342959162872085,
    "max": 1.0557283606321195
  },
  "diffusion_vre_mean_oracle": {
    "mean": 0.7552094586391358,
    "std": 0.21438092563759148,
    "min": 0.3064572438381678,
    "max": 1.1772377775373302
  },
  "diffusion_n_vibrato_notes": {
    "mean": 59.333333333333336,
    "std": 38.79633430564743,
    "min": 11.0,
    "max": 121.0
  }
}

Results saved to experiments/results/exp005.json
=== exp005 complete ===
End time: Tue Mar 24 20:00:05     2026
